Addresses,Reprint Addresses
"[Oh, Won-Yong] Univ Calgary, Calgary, AB, Canada; [Chang, Young Kyun] Sogang Univ, Seoul, South Korea; [Kim, Tae-Yeol] China Europe Int Business Sch, Shanghai, Peoples R China","Oh, WY (corresponding author), Univ Calgary, Haskayne Sch Business, 2500 Univ Dr NW, Calgary, AB T2N 1N4, Canada."
"[Chen, Xiao-Ping] Univ Washington, Seattle, WA 98195 USA; [He, Wei] Huazhong Univ Sci & Technol, Wuhan, Peoples R China; [Weng, Liang-Chieh] Providence Univ, Taichung, Taiwan","He, W (corresponding author), Huazhong Univ Sci & Technol, Sch Management, Dept Business Adm, Luoyu Rd 1037, Wuhan 430074, Peoples R China."
"[Deng, Hong] Univ Manchester, Manchester, Lancs, England; [Guan, Yanjun] Univ Durham, Durham, England; [Wu, Chia-Huei] London Sch Econ & Polit Sci, London, England; [Erdogan, Berrin; Bauer, Talya] Portland State Univ, Portland, OR 97207 USA; [Yao, Xiang] Peking Univ, Beijing, Peoples R China","Yao, X (corresponding author), Peking Univ, Sch Psychol & Cognit Sci, Beijing 100871, Peoples R China."
"[Su, Zhong-Xing] Renmin Univ China, Beijing, Peoples R China; [Wright, Patrick M.; Ulrich, Michael D.] Univ South Carolina, Columbia, SC 29208 USA","Su, ZX (corresponding author), Renmin Univ China, Sch Labor & Human Resources, 59 Zhongguancun St, Beijing 100872, Peoples R China."
"[Xia, Jun] Univ Texas Dallas, Richardson, TX 75083 USA; [Wang, Yonggui] Univ Int Business & Econ, Beijing, Peoples R China; [Lin, Ya (Lisa)] Hong Kong Baptist Univ, Hong Kong, Hong Kong, Peoples R China; [Yang, Haibin] City Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China; [Li, Sali] Univ South Carolina, Columbia, SC 29208 USA","Yang, HB (corresponding author), City Univ Hong Kong, Coll Business, Tat Chee Ave, Kowloon 100000, Hong Kong, Peoples R China."
"[Filatotchev, Igor] City Univ London, London, England; [Filatotchev, Igor] Vienna Univ Econ & Business, Vienna, Austria; [Chahine, Salim] Amer Univ Beirut, Beirut, Lebanon; [Bruton, Garry D.] Texas Christian Univ, Ft Worth, TX 76129 USA; [Bruton, Garry D.] Sun Yat Sen Univ, Guangzhou, Guangdong, Peoples R China","Chahine, S (corresponding author), Amer Univ Beirut, Olayan Sch Business, Bliss St,POB 11-0236, Beirut, Lebanon."
"[Rego, Armenio] Inst Univ Lisboa, Catolica Porto Business Sch, Lisbon, Portugal; [Owens, Bradley] Brigham Young Univ, Provo, UT 84602 USA; [Yam, Kai Chi] Natl Univ Singapore, Singapore, Singapore; [Bluhm, Dustin] Univ Colorado, Colorado Springs, CO 80907 USA; [Pina e Cunha, Miguel] Univ Nova Lisboa, Lisbon, Portugal; [Silard, Anthony; Goncalves, Lurdes] Calif State Univ San Bernardino, San Bernardino, CA 92407 USA; [Martins, Mafalda] Univ Aveiro, Aveiro, Portugal; [Simpson, Ace Volkmann] Univ Technol Sydney, Sydney, NSW, Australia; [Liu, Wenxing] Zhongnan Univ Econ & Law, Wuhan, Hubei, Peoples R China","Liu, WX (corresponding author), Zhongnan Univ Econ & Law, Sch Business Adm, East Lake Hightech Dev Zone, 182 Nanhu Ave, Wuhan 430073, Hubei, Peoples R China."
"[Bergh, Donald D.] Univ Denver, Denver, CO 80208 USA; [Ketchen, David J., Jr.] Auburn Univ, Auburn, AL 36849 USA; [Orlandi, Ilaria; Heugens, Pursey P. M. A. R.] Erasmus Univ, Rotterdam, Netherlands; [Boyd, Brian K.] City Univ Hong Kong, Hong Kong, Peoples R China","Bergh, DD (corresponding author), Univ Denver, Daniels Coll Business, 2101 S Univ Blvd, Denver, CO 80309 USA."
"[Zhu, Hong (Susan)] Peking Univ, HSBC Business Sch, Beijing, Peoples R China; [Ma, Xufei] Chinese Univ Hong Kong, Hong Kong, Peoples R China; [Sauerwald, Steve] Univ Illinois, Chicago, IL USA; [Peng, Mike W.] Univ Texas Dallas, Richardson, TX 75083 USA","Sauerwald, S (corresponding author), Univ Illinois, Dept Managerial Studies, 601 South Morgan St, Chicago, IL 60607 USA."
"[Marinova, Sophia V.] Univ Alabama, Huntsville, AL 35899 USA; [Cao, Xiaoyun] Renmin Univ China, Beijing, Peoples R China; [Park, Haesang] Tulane Univ, New Orleans, LA 70118 USA","Cao, XY (corresponding author), Renmin Univ China, Renmin Business Sch, Dept Org & Human Resources, 913 Mingde Business Bldg,59 Zhongguancun Ave, Beijing 100872, Peoples R China."
"[Jeong, Inseong] Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China; [Shin, Shung Jae] Portland State Univ, 615 SW Harrison St, Portland, OR 97201 USA","Shin, SJ (corresponding author), Portland State Univ, 615 SW Harrison St, Portland, OR 97201 USA."
"[Venus, Merlijn] Univ Amsterdam, Amsterdam, Netherlands; [Johnson, Russell E.] Michigan State Univ, E Lansing, MI 48824 USA; [Zhang, Shuxia] Ohio State Univ, Columbus, OH 43210 USA; [Wang, Xiao-Hua (Frank)] Beijing Normal Univ, Beijing, Peoples R China; [Lanaj, Klodiana] Univ Florida, Gainesville, FL 32611 USA","Venus, M (corresponding author), Univ Amsterdam, Amsterdam Business Sch, Plantage Muidergracht 12, NL-1018 TV Amsterdam, Netherlands."
